Serial No,ratings,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,category,product type,brand,main_cat,price,Human Sentiment Score,Review Type,Sentiment_Score,Sentiment_Magnitude,Google_API_Score,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,roberta_compound
42,5,,True,"12 15, 2013",A2WTWNQ5YX0U3J,B00009W3HD,amazon customer,"Had this item for about 4 years.  Every winter we connect it to the dryer duct to re-direct the dryer heat inside.  Our dryer is in the mud room of the first floor and there is some moisture condensation for the beginning of the cycle but the dampness is useful to counter balance the dryness from the forced hot air from our home's heat pump.  We make sure the connections are secure because sometimes extra lint or dust can escape.  Also, we use an old pantyhose around the box as another filter to catch more lint.",saves heating bill; adds moisture,1387065600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.9,Positive,0.2,1.3,0.15,0.038,0.849,0.113,0.7876,0.08566147089004517,0.7141931056976318,0.2001454383134842,0.11448399722576141
43,1,7.0,True,"04 1, 2013",A3EATZMITBG525,B00009W3HD,El Jimbo,"We did not have a dryer vent in our new condo. Wish I had noticed that before we moved in. This seemed to be the only option and it is barely adequate. It does catch a lot of the lint but fine particles seem to escape at will. We have to dust the condo after every wash day. I didn't see any better options out there.

By the way, it is cheaply made, be gentle with it or you will mess it up.

*****Update****

After using this thing for about 9 months we have decided to stop using our dryer in the condo. I changed it from 3 stars to 1. It just doesn't catch enough lint and when we did a spring cleaning by moving furniture and the washer / dryer to clean up dust bunnies it was obvious it does a very poor job of eliminating lint from escaping into the rest of our condo. It was gross, and to think we've been breathing that stuff in. And, yes, we followed instructions, made sure there was plenty of water in the basin and we cleaned it out each time we used it. I do not recommend this product. We prefer going to the laundry building in our complex rather than use the dryer with the lint catcher.","No longer using it, it just doesn't do the job",1364774400,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,-0.9,Negative,-0.4,7.8,-0.05,0.087,0.817,0.096,-0.2406,0.840602457523346,0.13909946382045746,0.02029806561768055,-0.8203044179826975
49,4,,True,"05 2, 2016",A1K5L5FQJX2BFM,B0000ALEVA,Randall Hunte,Practical,Four Stars,1462147200,"['Appliances', 'Parts &amp; Accessories', 'Dishwasher Parts &amp; Accessories', 'Baskets']",Dishwasher Basket,Prince Lionheart,Baby,15.79,0.5,Positive,0.8,0.8,0.76,0.0,1.0,0.0,0.0,0.16680382192134857,0.6632254123687744,0.1699708253145218,0.0031671226024627686
57,5,,True,"02 22, 2012",AALRHWC7V1MVE,B0000ALEVA,ABG,"I don't use the round thing (I guess it's for sippy cups), but I use the other two for Dr Brown bottles and Medela pumping supplies.  No complaints so far, it just does what it should!",Great!,1329868800,"['Appliances', 'Parts &amp; Accessories', 'Dishwasher Parts &amp; Accessories', 'Baskets']",Dishwasher Basket,Prince Lionheart,Baby,15.79,0.3,Positive,0.5,1.1,0.43,0.172,0.828,0.0,-0.7678,0.01168539747595787,0.18746431171894073,0.8008502721786499,0.789164837449789
60,5,11.0,True,"12 16, 2010",A1KWLSHD6O5V9J,B0000TN7NS,PJD,"Like a lot of people, I have allergies and during the winter need to keep the humidity level between 30-40%. Higher humidity helps in that it keeps me from shocking my dogs and cats when I touch them. This is working great ! I have taken it from room to room to get the reading on each room so I'll know how much humidity I need to add to the air etc. The numbers are easy to read which is plus. I'd order this again and recommend it highly.",Works great !,1292457600,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.9,Positive,0.6,3.9,0.15,0.029,0.814,0.157,0.9041,0.01454820018261671,0.1023297905921936,0.8831219673156738,0.8685736833140254
65,5,,True,"12 4, 2016",A1UAAV9UD8MKRY,B0000TN7NS,Amazon Customer,Super,Five Stars,1480809600,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.9,Positive,0.9,0.9,0.76,0.0,0.0,1.0,0.5994,0.061617281287908554,0.39266520738601685,0.5457175374031067,0.4841003082692623
70,4,,True,"01 22, 2016",A3DJ6KOU5PSFAS,B0000TN7NS,Angela Dublin,Does well,Four Stars,1453420800,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.6,Positive,0.9,0.9,0.76,0.0,0.323,0.677,0.2732,0.013441496528685093,0.27927273511886597,0.7072857022285461,0.6938440734520555
71,1,,True,"01 13, 2016",A2MA5H3EPXVTJ0,B0000TN7NS,ALINA Z,I have three of these and they show different numbers at the same place.,One Star,1452643200,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,-0.7,Negative,-0.3,0.3,-0.76,0.0,1.0,0.0,0.0,0.06714250147342682,0.8606491684913635,0.07220834493637085,0.0050658732652664185
75,3,,True,"10 8, 2015",ADCT4DDSPBBZO,B0000TN7NS,SLM,We own two and sadly one stopped working after two years.,Three Stars,1444262400,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.3,Positive,-0.8,0.8,-0.76,0.343,0.657,0.0,-0.5719,0.8831697106361389,0.10986419767141342,0.006966108921915293,-0.8762035672552884
91,2,,True,"03 24, 2015",A1XPT6TAPFPPEM,B0000TN7NS,Penguin60,"humidity monitor works, temp is not accurate",Two Stars,1427155200,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.2,Neutral,-0.8,0.8,-0.76,0.0,1.0,0.0,0.0,0.4498389661312103,0.4822578430175781,0.06790311634540558,-0.3819359987974167
100,5,,True,"01 11, 2015",A20A5WWCB180WM,B0000TN7NS,Joseph Page,Easy to read!,Great for the nursery!,1420934400,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.6,Positive,0.9,0.9,0.76,0.0,0.385,0.615,0.4926,0.010907409712672234,0.12230468541383743,0.8667879104614258,0.8558805119246244
101,5,,True,"01 9, 2015",A3JKNQ588Q3OGW,B0000TN7NS,C. Bradshaw,Works well to tell you the temp of an area.,Good Buy,1420761600,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.6,Positive,0.9,0.9,0.76,0.0,0.811,0.189,0.2732,0.011499774642288685,0.3806145191192627,0.6078857183456421,0.5963859679177403
103,5,,True,"12 5, 2014",A2H667ZUNLNTF1,B0000TN7NS,Wendi Barker,"I use this together with a humidifier when someone in the family comes down with a cold.  It shows me what the current humidity and temperature is so I can adjust the humidifier to get the perfect moisture in the air for the room.

I love the guide along the bottom.  It shows the ranges for too dry, just right, ideal for when you have a cold and too moist.  SO helpful and easy to read!","Works Great, Use it to Control Humidity in Room When We Have Colds",1417737600,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.6,Positive,0.8,4.2,0.19,0.0,0.772,0.228,0.965,0.0075202337466180325,0.06407176703214645,0.9284079670906067,0.920887669082731
104,4,,True,"11 23, 2014",ABIJIQNDJJ51M,B0000TN7NS,amazonuser,Delivered on time and works as expected,Four Stars,1416700800,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.7,Positive,0.7,0.7,0.76,0.0,1.0,0.0,0.0,0.006353515200316906,0.15123574435710907,0.8424107432365417,0.8360572336241603
117,1,4.0,True,"07 30, 2014",A32U5KVA3FL9OG,B0000TN7NS,David A. Holcomb,I purchased this about three weeks ago.  The humidity indicator always reads in the mid teens.  I live in NW Florida where humidity levels are usually in the 60's to 80's.  I should have heeded past reviewers complaints of a faulty product.  This is junk.,I purchased this about three weeks ago. The humidity ...,1406678400,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,-0.9,Negative,-0.3,1.7,-0.17,0.114,0.886,0.0,-0.6124,0.8678714632987976,0.11999543756246567,0.012133043259382248,-0.8557385317981243
121,4,,True,"04 17, 2014",A2ZM57F91CHTDK,B0000TN7NS,J. Nyberg,I have had other digital devices that disappointed me.  This machine has been the most accurate and responsive to the sensing and display of changing humidity and temperature. Started up without failure and hasn't failed yet (1-1/2 months). Good purchase.,Seems very responsive,1397692800,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.5,Positive,0.6,3.0,0.2,0.064,0.706,0.23,0.7886,0.04723399132490158,0.15470317006111145,0.7980628609657288,0.7508289143443108
122,5,,True,"04 4, 2014",A2ITS2CJX3Y3WP,B0000TN7NS,eala,The monitor works right out of the box and starts reading within a minute of powering up.  I like that it shows not only what it is but what is recommended.,Just what we needed.,1396569600,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.8,Positive,0.9,1.8,0.46,0.0,0.872,0.128,0.4497,0.008183189667761326,0.09518633782863617,0.8966305255889893,0.8884474420920014
131,5,,True,"01 17, 2013",A62COSCXOXCD6,B0000TN7NS,John Newcomer,"Works well, easy to read and reasonably priced. Our home humidifier does not have a digital display. This monitor gives a very accurate sense of how well it is working. I would buy it again.",Happy with Monitor,1358380800,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.8,Positive,0.5,3.4,0.15,0.0,0.803,0.197,0.7269,0.0071468953974545,0.0434255376458168,0.9494275450706482,0.9422806059010327
133,5,,True,"08 10, 2011",A1XQKOSGABHOJU,B0000TN7NS,John Covino,Use these throughout the house in winter.  We burn wood via woodstove so house gets really dry.  This lets us know just how dry the house is to increase the humidity as needed.,Good monitor,1312934400,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.5,Positive,0.5,2.0,0.24,0.0,0.933,0.067,0.3182,0.18030503392219543,0.7005046010017395,0.1191902831196785,-0.06111491471529007
138,3,10.0,True,"08 3, 2010",AYRWWC1I4T14X,B000274JT4,newgrandma,"Six years ago, when we purchased our GE Monogram compactor, it came with bags. They were very thick, the bottoms were pleated for perfect fit and they had holes for the ""buttons"" on the sides to keep the bags from sliding when compacting. For a couple of years, we could purchase similar bags from GE, but they were pretty costly for such an item. What has happened, GE? Thinner bags, flat, with no holes. It was a lot of work to make the bag fit--well, almost fit. Half the price, I have to admit, but then, you get what you pay for. I am tempted to order directly from GE and see if there is a difference. I am wondering if GE provides these bags of poorer quality so they can be sold cheaper. (I used amazon, because it was easy. The bags came quickly, no complaint there.)","GE bags, really?",1280793600,"['Appliances', 'Parts & Accessories', 'Trash Compactor Parts & Accessories']",Trash Compactor,GE,Tools & Home Improvement,23.75,-0.5,Negative,0.0,3.8,0.0,0.091,0.789,0.121,0.7096,0.15968593955039978,0.49693921208381653,0.3433747887611389,0.18368873000144958
140,4,,True,"04 18, 2010",A1BIA3FEOKSNLZ,B0002D000K,Melissa,very handy device to understand humidity levels in your home.  I moved it form room to room to understand humidity patterns in home.,handy little device,1271548800,"['Appliances', 'Parts & Accessories', 'Humidifier Parts & Accessories', 'Accessories']",Humidifier Accessories,D'Addario Accessories,Musical Instruments,16.99,0.6,Positive,0.4,1.0,0.38,0.0,1.0,0.0,0.0,0.011684248223900795,0.33346548676490784,0.6548502445220947,0.6431659553200006
141,4,,True,"06 7, 2014",A3TM9RWCTMIK42,B0002D000K,Jeffrey,A must buy if you want to know what the humidity is inside a guitar case. No more guessing involved and fairly well constructed.,Hygrometer Humidity Senor,1402099200,"['Appliances', 'Parts & Accessories', 'Humidifier Parts & Accessories', 'Accessories']",Humidifier Accessories,D'Addario Accessories,Musical Instruments,16.99,0.5,Positive,0.9,1.9,0.44,0.089,0.772,0.138,0.0516,0.020495405420660973,0.34485071897506714,0.6346538066864014,0.6141582634299994
143,3,,True,"10 26, 2013",A16GSR63P6A46J,B0002D000K,David A. Darbyshire,"Hard to read, but does give you the humidity in your case.  I think I would look for a different one, if I were to buy again.",So So,1382745600,"['Appliances', 'Parts & Accessories', 'Humidifier Parts & Accessories', 'Accessories']",Humidifier Accessories,D'Addario Accessories,Musical Instruments,16.99,-0.7,Negative,-0.2,0.7,-0.28,0.052,0.948,0.0,-0.0516,0.44349274039268494,0.49882757663726807,0.05767959728837013,-0.38581331446766853
157,5,,True,"08 13, 2015",A24RWWH4D8L5TV,B0002EAL58,Loveapple,"This is a good thing I bought. Turn a friger into a refrigerator, and it's been serving well since.",Five Stars,1439424000,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.7,Positive,0.8,1.7,0.44,0.0,0.722,0.278,0.6124,0.0012166813248768449,0.013331043533980846,0.9854522347450256,0.9842354726279154
158,5,,True,"07 22, 2015",A2S3JVFIX1U7A7,B0002EAL58,Dene Bourn,"Works just as it's suppose to , our old freezer is now an energy efficient refrig .",Five Stars,1437523200,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.6,Positive,0.9,0.9,0.76,0.0,0.726,0.274,0.5994,0.01023322343826294,0.14561282098293304,0.8441540002822876,0.8339208662509918
159,5,,True,"07 12, 2015",A2K8TG7T8108BJ,B0002EAL58,Aldo Lopez,works great. fridge is at a stable temperature now.,Five Stars,1436659200,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.7,Positive,0.7,1.5,0.44,0.0,0.488,0.512,0.743,0.0017962395213544369,0.034768443554639816,0.9634352922439575,0.9616390033625066
163,5,,True,"05 24, 2015",A2LF8UCU952WHN,B0002EAL58,Suchismita Rath,works as expected for past 2+ years,Five Stars,1432425600,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.7,Positive,0.7,0.7,0.76,0.0,1.0,0.0,0.0,0.06503051519393921,0.737740159034729,0.19722934067249298,0.13219885528087616
164,5,,True,"05 12, 2015",A2IGD9JPE559DL,B0002EAL58,Steelution,These are great for turning a chest freezer into a fridge!  Extremely low-power!,Five Stars,1431388800,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.8,Positive,0.3,1.2,0.24,0.0,0.681,0.319,0.6892,0.0025455353315919638,0.026274964213371277,0.9711795449256897,0.9686340985354036
168,5,,True,"11 5, 2014",A2377KUOP8KIS5,B0002EAL58,Andrew C.,Converted a box freezer into a kegerator with the temperature controller. Works well.,Five Stars,1415145600,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.6,Positive,0.4,1.0,0.38,0.0,0.826,0.174,0.2732,0.005441783927381039,0.11090202629566193,0.8836561441421509,0.8782142689451575
171,5,,True,"07 14, 2014",A2QCFU3HXNAJ8E,B0002EAL58,M. Cheeseman,Worked well. Easy to install.,Easy to install,1405296000,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.6,Positive,0.9,1.8,0.46,0.0,0.375,0.625,0.6124,0.008830233477056026,0.08065737783908844,0.910512387752533,0.9016821524128318
181,5,,True,"04 12, 2013",A2UIRY5AXKNZLQ,B0002EAL58,Eric R. Caron,I set my freezer down to zero and then set up the control where I like my beer 55F and it does the rest. Set it and forget it.,Does exactly what it is supposed to do,1365724800,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.8,Positive,0.0,0.4,0.0,0.065,0.85,0.085,0.1531,0.16199655830860138,0.6858437061309814,0.15215975046157837,-0.009836778044700623
195,5,,True,"01 12, 2017",A2A6FAOOXE68TJ,B0002GTTRC,Laura Vergeront,Fit like a glove and easy to install.  the last one lasted 3years,perfect for the GE frigs,1484179200,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.7,Positive,0.2,1.4,0.14,0.0,0.533,0.467,0.7845,0.031122615560889244,0.2766295075416565,0.6922478675842285,0.6611252333968878
210,5,,True,"12 21, 2015",A38X1DVZ4IJCWO,B0002GTTRC,BIG MONKEY,Worked perfectly on my GE Profile fridge. Water had a slight residual taste to it at the beginning but all's now.,Worked perfectly on my GE Profile fridge. Water had ...,1450656000,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.6,Positive,0.7,1.4,0.46,0.0,0.88,0.12,0.3818,0.00577930873259902,0.11287617683410645,0.8813444972038269,0.8755651540122926
213,5,,True,"10 19, 2015",A3UNR2XY2ZI5UR,B0002GTTRC,Poorer but Wiser,"These are genuine GE filters, not ""compatibles.""  This was also the best price I found for genuine filters.",Genuine GE filters.,1445212800,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.5,Positive,0.5,1.0,0.46,0.0,0.792,0.208,0.6369,0.005033400375396013,0.07164383679628372,0.9233227372169495,0.9182892856188118
215,5,,True,"08 2, 2015",A2NT7FBO42GCY3,B0002GTTRC,Chris in the Morning,"Right filter, right price, works great.  I can't ask for anything else.  I usually go to Sears for the replacement filter since I bought the refrigerator there.  Sears keeps moving the filters and last time I had to go to a desk where the rep went into the back area to get the filter.  It took 5 minutes for him to find it and the water flow was very restricted.  I decided to eliminate the hassle of driving, requesting and waiting.",works great. I can't ask for anything else,1438473600,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.8,Positive,0.0,3.7,0.0,0.037,0.911,0.052,0.2975,0.062020424753427505,0.23477114737033844,0.7032083868980408,0.6411878801882267
218,5,,True,"06 19, 2015",A2HOH37YG4S9CW,B0002GTTRC,Jo,Great product.,Five Stars,1434672000,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.7,Positive,0.9,0.9,0.76,0.0,0.196,0.804,0.6249,0.005953172221779823,0.04720013216137886,0.9468466639518738,0.9408934284001589
224,4,,True,"04 7, 2015",AVBEGZ6R4B61V,B0002GTTRC,The biggest of the big,so far so good ...bought it through a reseller on amazon and it seems legit,Four Stars,1428364800,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.7,Positive,0.9,0.9,0.76,0.0,0.675,0.325,0.6976,0.0013600552920252085,0.013029679656028748,0.98561030626297,0.9842503333929926
235,4,,True,"10 26, 2014",A267BR0F6ATA0O,B0002GTTRC,Maryanne deluca,Short life span for the amount of money they charge,Four Stars,1414281600,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,-0.6,Negative,-0.4,0.4,-0.76,0.0,1.0,0.0,0.0,0.6936339139938354,0.2885006368160248,0.017865363508462906,-0.6757687218487263
239,3,,True,"07 30, 2014",A2PAOKIY0NGFG3,B0002GTTRC,Lee,Quick service and nice price.,Three Stars,1406678400,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.6,Positive,0.8,0.8,0.76,0.0,0.588,0.412,0.4215,0.006986846681684256,0.11367622762918472,0.879336953163147,0.8723501614294946
240,5,,True,"07 25, 2014",AMHFK440S8860,B0002GTTRC,Hillary K.,Great!  the right one at the right price,Great! the right one at the right,1406246400,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.8,Positive,0.9,1.9,0.44,0.0,0.614,0.386,0.6588,0.004180083516985178,0.04569714143872261,0.9501227140426636,0.9459425085224211
243,5,,True,"04 4, 2014",ADHCE9CVYBCP2,B0002GTTRC,K.,"We replace our water filter every 6 months. It is easy and not too expensive. And, who doesn't want to get rid of all the 'stuff' in our water!",Easy to install,1396569600,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.6,Positive,0.5,1.7,0.29,0.04,0.855,0.105,0.4534,0.11434666812419891,0.3763907849788666,0.5092625021934509,0.39491574466228485
244,5,,True,"02 7, 2014",A2KD1R5EFVNAKS,B0002GTTRC,Kay Veress,Its a good filter and the $ok. I have recommended to a few friends whom I know are shopping for filters,good filters,1391731200,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.7,Positive,0.7,1.4,0.46,0.0,0.642,0.358,0.7783,0.003999607637524605,0.087091363966465,0.9089090824127197,0.9049095828086138
