Serial No,ratings,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,category,product type,brand,main_cat,price,Human Sentiment Score,Review Type,Sentiment_Score,Sentiment_Magnitude,Normalized_Sentiment_Scores
65,5,,True,"12 4, 2016",A1UAAV9UD8MKRY,B0000TN7NS,Amazon Customer,Super,Five Stars,1480809600,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.9,Positive,0.9,0.9,0.76
70,4,,True,"01 22, 2016",A3DJ6KOU5PSFAS,B0000TN7NS,Angela Dublin,Does well,Four Stars,1453420800,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.6,Positive,0.9,0.9,0.76
71,1,,True,"01 13, 2016",A2MA5H3EPXVTJ0,B0000TN7NS,ALINA Z,I have three of these and they show different numbers at the same place.,One Star,1452643200,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,-0.7,Negative,-0.3,0.3,-0.76
75,3,,True,"10 8, 2015",ADCT4DDSPBBZO,B0000TN7NS,SLM,We own two and sadly one stopped working after two years.,Three Stars,1444262400,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.3,Positive,-0.8,0.8,-0.76
91,2,,True,"03 24, 2015",A1XPT6TAPFPPEM,B0000TN7NS,Penguin60,"humidity monitor works, temp is not accurate",Two Stars,1427155200,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.2,Neutral,-0.8,0.8,-0.76
100,5,,True,"01 11, 2015",A20A5WWCB180WM,B0000TN7NS,Joseph Page,Easy to read!,Great for the nursery!,1420934400,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.6,Positive,0.9,0.9,0.76
101,5,,True,"01 9, 2015",A3JKNQ588Q3OGW,B0000TN7NS,C. Bradshaw,Works well to tell you the temp of an area.,Good Buy,1420761600,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.6,Positive,0.9,0.9,0.76
103,5,,True,"12 5, 2014",A2H667ZUNLNTF1,B0000TN7NS,Wendi Barker,"I use this together with a humidifier when someone in the family comes down with a cold.  It shows me what the current humidity and temperature is so I can adjust the humidifier to get the perfect moisture in the air for the room.

I love the guide along the bottom.  It shows the ranges for too dry, just right, ideal for when you have a cold and too moist.  SO helpful and easy to read!","Works Great, Use it to Control Humidity in Room When We Have Colds",1417737600,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.6,Positive,0.8,4.2,0.19
104,4,,True,"11 23, 2014",ABIJIQNDJJ51M,B0000TN7NS,amazonuser,Delivered on time and works as expected,Four Stars,1416700800,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.7,Positive,0.7,0.7,0.76
117,1,4,True,"07 30, 2014",A32U5KVA3FL9OG,B0000TN7NS,David A. Holcomb,I purchased this about three weeks ago.  The humidity indicator always reads in the mid teens.  I live in NW Florida where humidity levels are usually in the 60's to 80's.  I should have heeded past reviewers complaints of a faulty product.  This is junk.,I purchased this about three weeks ago. The humidity ...,1406678400,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,-0.9,Negative,-0.3,1.7,-0.17
121,4,,True,"04 17, 2014",A2ZM57F91CHTDK,B0000TN7NS,J. Nyberg,I have had other digital devices that disappointed me.  This machine has been the most accurate and responsive to the sensing and display of changing humidity and temperature. Started up without failure and hasn't failed yet (1-1/2 months). Good purchase.,Seems very responsive,1397692800,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.5,Positive,0.6,3.0,0.2
122,5,,True,"04 4, 2014",A2ITS2CJX3Y3WP,B0000TN7NS,eala,The monitor works right out of the box and starts reading within a minute of powering up.  I like that it shows not only what it is but what is recommended.,Just what we needed.,1396569600,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.8,Positive,0.9,1.8,0.46
131,5,,True,"01 17, 2013",A62COSCXOXCD6,B0000TN7NS,John Newcomer,"Works well, easy to read and reasonably priced. Our home humidifier does not have a digital display. This monitor gives a very accurate sense of how well it is working. I would buy it again.",Happy with Monitor,1358380800,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.8,Positive,0.5,3.4,0.15
133,5,,True,"08 10, 2011",A1XQKOSGABHOJU,B0000TN7NS,John Covino,Use these throughout the house in winter.  We burn wood via woodstove so house gets really dry.  This lets us know just how dry the house is to increase the humidity as needed.,Good monitor,1312934400,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.5,Positive,0.5,2.0,0.24
138,3,10,True,"08 3, 2010",AYRWWC1I4T14X,B000274JT4,newgrandma,"Six years ago, when we purchased our GE Monogram compactor, it came with bags. They were very thick, the bottoms were pleated for perfect fit and they had holes for the ""buttons"" on the sides to keep the bags from sliding when compacting. For a couple of years, we could purchase similar bags from GE, but they were pretty costly for such an item. What has happened, GE? Thinner bags, flat, with no holes. It was a lot of work to make the bag fit--well, almost fit. Half the price, I have to admit, but then, you get what you pay for. I am tempted to order directly from GE and see if there is a difference. I am wondering if GE provides these bags of poorer quality so they can be sold cheaper. (I used amazon, because it was easy. The bags came quickly, no complaint there.)","GE bags, really?",1280793600,"['Appliances', 'Parts & Accessories', 'Trash Compactor Parts & Accessories']",Trash Compactor,GE,Tools & Home Improvement,23.75,-0.5,Negative,0.0,3.8,0.0
140,4,,True,"04 18, 2010",A1BIA3FEOKSNLZ,B0002D000K,Melissa,very handy device to understand humidity levels in your home.  I moved it form room to room to understand humidity patterns in home.,handy little device,1271548800,"['Appliances', 'Parts & Accessories', 'Humidifier Parts & Accessories', 'Accessories']",Humidifier Accessories,D'Addario Accessories,Musical Instruments,16.99,0.6,Positive,0.4,1.0,0.38
141,4,,True,"06 7, 2014",A3TM9RWCTMIK42,B0002D000K,Jeffrey,A must buy if you want to know what the humidity is inside a guitar case. No more guessing involved and fairly well constructed.,Hygrometer Humidity Senor,1402099200,"['Appliances', 'Parts & Accessories', 'Humidifier Parts & Accessories', 'Accessories']",Humidifier Accessories,D'Addario Accessories,Musical Instruments,16.99,0.5,Positive,0.9,1.9,0.44
143,3,,True,"10 26, 2013",A16GSR63P6A46J,B0002D000K,David A. Darbyshire,"Hard to read, but does give you the humidity in your case.  I think I would look for a different one, if I were to buy again.",So So,1382745600,"['Appliances', 'Parts & Accessories', 'Humidifier Parts & Accessories', 'Accessories']",Humidifier Accessories,D'Addario Accessories,Musical Instruments,16.99,-0.7,Negative,-0.2,0.7,-0.28
157,5,,True,"08 13, 2015",A24RWWH4D8L5TV,B0002EAL58,Loveapple,"This is a good thing I bought. Turn a friger into a refrigerator, and it's been serving well since.",Five Stars,1439424000,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.7,Positive,0.8,1.7,0.44
158,5,,True,"07 22, 2015",A2S3JVFIX1U7A7,B0002EAL58,Dene Bourn,"Works just as it's suppose to , our old freezer is now an energy efficient refrig .",Five Stars,1437523200,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.6,Positive,0.9,0.9,0.76
159,5,,True,"07 12, 2015",A2K8TG7T8108BJ,B0002EAL58,Aldo Lopez,works great. fridge is at a stable temperature now.,Five Stars,1436659200,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.7,Positive,0.7,1.5,0.44
163,5,,True,"05 24, 2015",A2LF8UCU952WHN,B0002EAL58,Suchismita Rath,works as expected for past 2+ years,Five Stars,1432425600,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.7,Positive,0.7,0.7,0.76
164,5,,True,"05 12, 2015",A2IGD9JPE559DL,B0002EAL58,Steelution,These are great for turning a chest freezer into a fridge!  Extremely low-power!,Five Stars,1431388800,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.8,Positive,0.3,1.2,0.24
168,5,,True,"11 5, 2014",A2377KUOP8KIS5,B0002EAL58,Andrew C.,Converted a box freezer into a kegerator with the temperature controller. Works well.,Five Stars,1415145600,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.6,Positive,0.4,1.0,0.38
171,5,,True,"07 14, 2014",A2QCFU3HXNAJ8E,B0002EAL58,M. Cheeseman,Worked well. Easy to install.,Easy to install,1405296000,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.6,Positive,0.9,1.8,0.46
181,5,,True,"04 12, 2013",A2UIRY5AXKNZLQ,B0002EAL58,Eric R. Caron,I set my freezer down to zero and then set up the control where I like my beer 55F and it does the rest. Set it and forget it.,Does exactly what it is supposed to do,1365724800,"['Appliances', 'Parts & Accessories', 'Freezer Parts & Accessories']",Freezer Parts,Jonson Controls,Industrial & Scientific,62.21,0.8,Positive,0.0,0.4,0.0
195,5,,True,"01 12, 2017",A2A6FAOOXE68TJ,B0002GTTRC,Laura Vergeront,Fit like a glove and easy to install.  the last one lasted 3years,perfect for the GE frigs,1484179200,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.7,Positive,0.2,1.4,0.14
210,5,,True,"12 21, 2015",A38X1DVZ4IJCWO,B0002GTTRC,BIG MONKEY,Worked perfectly on my GE Profile fridge. Water had a slight residual taste to it at the beginning but all's now.,Worked perfectly on my GE Profile fridge. Water had ...,1450656000,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.6,Positive,0.7,1.4,0.46
213,5,,True,"10 19, 2015",A3UNR2XY2ZI5UR,B0002GTTRC,Poorer but Wiser,"These are genuine GE filters, not ""compatibles.""  This was also the best price I found for genuine filters.",Genuine GE filters.,1445212800,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.5,Positive,0.5,1.0,0.46
215,5,,True,"08 2, 2015",A2NT7FBO42GCY3,B0002GTTRC,Chris in the Morning,"Right filter, right price, works great.  I can't ask for anything else.  I usually go to Sears for the replacement filter since I bought the refrigerator there.  Sears keeps moving the filters and last time I had to go to a desk where the rep went into the back area to get the filter.  It took 5 minutes for him to find it and the water flow was very restricted.  I decided to eliminate the hassle of driving, requesting and waiting.",works great. I can't ask for anything else,1438473600,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.8,Positive,0.0,3.7,0.0
218,5,,True,"06 19, 2015",A2HOH37YG4S9CW,B0002GTTRC,Jo,Great product.,Five Stars,1434672000,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.7,Positive,0.9,0.9,0.76
224,4,,True,"04 7, 2015",AVBEGZ6R4B61V,B0002GTTRC,The biggest of the big,so far so good ...bought it through a reseller on amazon and it seems legit,Four Stars,1428364800,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.7,Positive,0.9,0.9,0.76
235,4,,True,"10 26, 2014",A267BR0F6ATA0O,B0002GTTRC,Maryanne deluca,Short life span for the amount of money they charge,Four Stars,1414281600,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,-0.6,Negative,-0.4,0.4,-0.76
239,3,,True,"07 30, 2014",A2PAOKIY0NGFG3,B0002GTTRC,Lee,Quick service and nice price.,Three Stars,1406678400,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.6,Positive,0.8,0.8,0.76
240,5,,True,"07 25, 2014",AMHFK440S8860,B0002GTTRC,Hillary K.,Great!  the right one at the right price,Great! the right one at the right,1406246400,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.8,Positive,0.9,1.9,0.44
243,5,,True,"04 4, 2014",ADHCE9CVYBCP2,B0002GTTRC,K.,"We replace our water filter every 6 months. It is easy and not too expensive. And, who doesn't want to get rid of all the 'stuff' in our water!",Easy to install,1396569600,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.6,Positive,0.5,1.7,0.29
244,5,,True,"02 7, 2014",A2KD1R5EFVNAKS,B0002GTTRC,Kay Veress,Its a good filter and the $ok. I have recommended to a few friends whom I know are shopping for filters,good filters,1391731200,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.7,Positive,0.7,1.4,0.46
246,4,,True,"11 11, 2013",A1NNZB448WT9OU,B0002GTTRC,AW596,Was as described and does a good job of filtering water on my GE Profile fridge.  The only complaint that I have is how expensive they are.,Was as described.,1384128000,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.4,Positive,0.4,0.8,0.46
249,5,,True,"07 22, 2013",A1HEBW1WQ4FYAW,B0002GTTRC,Pam,"It is what it is: the filter that my owner's manual tells me to buy.  Frankly, I don't have a clue if it's good or great or what, but it is easy to install and works.  I shopped around, and Amazon had the best price I could find.  Good service, same product, best price, delivery to my door.  That works for me.",Exactly what I needed for the best price around,1374451200,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.3,Positive,0.6,3.2,0.19
250,1,,True,"06 4, 2013",A39MAFAF4Q7KQ2,B0002GTTRC,LadyDi88,Usually buy from lowes and filters last for eight or more months this was installed a month after purchase and only lasted two months. Lesson learned buy from lowes or at least not this seller,Ripped off,1370304000,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,-0.7,Negative,-0.4,0.9,-0.42
256,1,16,True,"08 18, 2012",A3RBAGMMTP4GJJ,B0002GTTRC,Bob Lauer,This appeared to have been a returned item. Foil covering was off filter end and the standard instruction leaflet was missing from the box. Not very sanitary to install a water filter that apparently was handled by a stranger.,Not brand new,1345248000,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,-0.7,Negative,-0.7,2.2,-0.31
259,5,,True,"01 5, 2012",A2B5DCTPK9JTZ3,B0002GTTRC,Sara,"It worked perfectly and came quick and on time, installation was pretty easy, I was supposed to exchange it with the other model and I liked the process in Amazon,",Perfect,1325721600,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,General Electric,Tools &amp; Home Improvement,39.98,0.6,Positive,0.7,0.7,0.76
267,5,,True,"01 9, 2017",A8FOSBRFYB84L,B0002HMUBI,armando santana,better price than getting the filter only.,Five Stars,1483920000,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,GE,Tools &amp; Home Improvement,37.98,0.6,Positive,0.8,0.8,0.76
272,5,,True,"10 8, 2016",AJVVL8ZP31BAB,B0002HMUBI,Mary Tomlin,Exactly what I wanted.,Five Stars,1475884800,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,GE,Tools &amp; Home Improvement,37.98,0.8,Positive,0.9,0.9,0.76
281,5,,True,"02 28, 2015",AICXVYKVPJW36,B0002HMUBI,Andrew,shipped fast and arrive well packaged.  Great replacement at low cost.,Great replacement at low cost,1425081600,"['Appliances', 'Parts &amp; Accessories', 'Refrigerator Parts &amp; Accessories', 'Water Filters']",Water filters,GE,Tools &amp; Home Improvement,37.98,0.7,Positive,0.8,1.7,0.44
288,5,,True,"02 20, 2018",A3G0QEG2UZ0OAJ,B0002JOZNM,Elizabeth Hasty,Always a little nervous when buying something like this online but the description and pictures definitely helped. No issues at all installing. Very careful packaging and clear instruction.,Always a little nervous when buying something like this online but the description and pictures definitely helped,1519084800,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Replacement Parts']",Dryer Replacement Parts,Certified Appliance Accessories,Tools &amp; Home Improvement,14.99,0.8,Positive,0.9,2.7,0.32
298,5,,True,"12 26, 2016",A24OXE9RP6MX9B,B0002JOZNM,Laurie C.,Exactly what I was looking for,Five Stars,1482710400,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Replacement Parts']",Dryer Replacement Parts,Certified Appliance Accessories,Tools &amp; Home Improvement,14.99,0.9,Positive,0.9,0.9,0.76
299,4,,True,"12 10, 2016",APWYJDL32T0YB,B0002JOZNM,tom78552,"This is a good cable. Don't hesitate to use it if you need the extra length for a specialty install. My only complaint was the strain relief was tough to install. I ended up having to put it on outside of the dryer first, put the impact driver to it so everything got bent into proper shape, then it all installed correctly.",Solid choice if you need a 10ft cable for a special install.,1481328000,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Replacement Parts']",Dryer Replacement Parts,Certified Appliance Accessories,Tools &amp; Home Improvement,14.99,0.6,Positive,0.2,2.2,0.09
301,5,,True,"11 15, 2016",ABSAX617TNU9,B0002JOZNM,TeamCanote,It was easy to install and the material is super thick. I have no worries with this plug.,Very strong and durable,1479168000,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Replacement Parts']",Dryer Replacement Parts,Certified Appliance Accessories,Tools &amp; Home Improvement,14.99,0.7,Positive,0.9,1.8,0.46
305,5,,True,"10 8, 2016",A34XS9TVBF12B1,B0002JOZNM,frank,"works great, replaced 2 prong cable that came with my dryer.",Five Stars,1475884800,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Replacement Parts']",Dryer Replacement Parts,Certified Appliance Accessories,Tools &amp; Home Improvement,14.99,0.7,Positive,0.9,0.9,0.76
306,4,,True,"09 20, 2016",A35ODO2S28RJNG,B0002JOZNM,Killercrane,It's a dryer cord. Nuff said.,Four Stars,1474329600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Replacement Parts']",Dryer Replacement Parts,Certified Appliance Accessories,Tools &amp; Home Improvement,14.99,0.5,Positive,-0.1,0.3,-0.32
